ord,edon,seccion,munn,dis1994,dis1997,dis2000,dis2003,dis2006,dis2009,dis2012,dis2013.1,dis2013.3
5445,6,196,7,2,2,2,2,1,1,1,2,2
5446,6,197,7,2,2,2,2,1,1,1,2,2
5447,6,198,7,2,2,2,2,1,1,1,2,2
5448,6,199,7,2,2,2,2,1,1,1,2,2
5449,6,200,8,2,2,2,2,2,2,2,1,1
5450,6,201,8,2,2,2,2,2,2,2,1,1
5451,6,202,8,2,2,2,2,2,2,2,1,1
5452,6,203,8,2,2,2,2,2,2,2,1,1
5453,6,204,8,2,2,2,2,2,2,2,1,1
5454,6,205,8,2,2,2,2,2,2,2,1,1
5455,6,206,8,2,2,2,2,2,2,2,1,1
5456,6,207,8,2,2,2,2,2,2,2,1,1
5457,6,208,8,2,2,2,2,2,2,2,1,1
5458,6,209,8,2,2,2,2,2,2,2,1,1
5459,6,210,8,2,2,2,2,2,2,2,1,1
5460,6,211,8,2,2,2,2,2,2,2,1,1
5461,6,212,8,2,2,2,2,2,2,2,1,1
5462,6,213,8,2,2,2,2,2,2,2,1,1
5463,6,214,8,2,2,2,2,2,2,2,1,1
5464,6,215,8,2,2,2,2,2,2,2,1,1
5465,6,216,8,2,2,2,2,2,2,2,1,1
5466,6,217,8,2,2,2,2,2,2,2,1,1
5467,6,218,8,2,2,2,2,2,2,2,1,1
5468,6,219,8,2,2,2,2,2,2,2,1,1
5469,6,220,8,2,2,2,2,2,2,2,1,1
5470,6,221,8,2,2,2,2,2,2,2,1,1
5471,6,222,8,2,2,2,2,2,2,2,1,1
5472,6,223,8,2,2,2,2,2,2,2,1,1
5473,6,224,8,2,2,2,2,2,2,2,1,1
5474,6,225,8,2,2,2,2,2,2,2,1,1
5475,6,226,8,2,2,2,2,2,2,2,1,1
5476,6,227,8,2,2,2,2,2,2,2,1,1
5477,6,228,8,2,2,2,2,2,2,2,1,1
5478,6,229,8,2,2,2,2,2,2,2,1,1
5479,6,230,8,2,2,2,2,2,2,2,1,1
5480,6,231,8,2,2,2,2,2,2,2,1,1
5481,6,232,8,2,2,2,2,2,2,2,1,1
5482,6,233,8,2,2,2,2,2,2,2,1,1
5483,6,234,8,2,2,2,2,2,2,2,1,1
5484,6,235,8,2,2,2,2,2,2,2,1,1
5485,6,236,8,2,2,2,2,2,2,2,1,1
5486,6,237,8,2,2,2,2,2,2,2,1,1
5487,6,238,8,2,2,2,2,2,2,2,1,1
5488,6,239,8,2,2,2,2,2,2,2,1,1
5489,6,240,8,2,2,2,2,2,2,2,1,1
5490,6,241,8,2,2,2,2,2,2,2,1,1
5491,6,242,8,2,2,2,2,2,2,2,1,1
5492,6,243,8,2,2,2,2,2,2,2,1,1
5493,6,244,8,2,2,2,2,2,2,2,1,1
5494,6,245,8,2,2,2,2,2,2,2,1,1
5495,6,246,8,2,2,2,2,2,2,2,1,1
5496,6,247,8,2,2,2,2,2,2,2,1,1
5497,6,248,8,2,2,2,2,2,2,2,1,1
5498,6,249,8,2,2,2,2,2,2,2,1,1
5499,6,250,8,2,2,2,2,2,2,2,1,1
5500,6,251,8,2,2,2,2,2,2,2,1,1
5501,6,252,8,2,2,2,2,2,2,2,1,1
5502,6,253,8,2,2,2,2,2,2,2,1,1
5503,6,254,8,2,2,2,2,2,2,2,1,1
5504,6,255,8,2,2,2,2,2,2,2,1,1
5505,6,256,8,2,2,2,2,2,2,2,1,1
5506,6,257,8,2,2,2,2,2,2,2,1,1
5507,6,258,8,2,2,2,2,2,2,2,1,1
5508,6,259,8,2,2,2,2,2,2,2,1,1
5509,6,260,8,2,2,2,2,2,2,2,1,1
5510,6,261,8,2,2,2,2,2,2,2,1,1
5511,6,262,8,2,2,2,2,2,2,2,1,1
